number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.30245834290981294,2025-09-06 22:39:48.744478,2025-09-06 22:39:50.346816,0 days 00:00:01.602338,64,0.24311826704185824,7,0.005790660599737916,32,COMPLETE
1,0.7850190043449402,2025-09-06 22:39:50.346908,2025-09-06 22:39:52.389222,0 days 00:00:02.042314,16,0.2872525801685443,3,4.017405640357355e-05,16,COMPLETE
2,0.2996837705373764,2025-09-06 22:39:52.389310,2025-09-06 22:39:53.691681,0 days 00:00:01.302371,64,0.038635745821244336,8,0.003332490091243605,48,COMPLETE
3,0.1910358190536499,2025-09-06 22:39:53.691770,2025-09-06 22:39:54.475635,0 days 00:00:00.783865,48,0.09897713136805276,1,0.0017289084308047492,112,COMPLETE
4,0.2827924698591232,2025-09-06 22:39:54.475722,2025-09-06 22:39:55.457031,0 days 00:00:00.981309,48,0.1640630030541668,3,6.412841952104385e-05,96,COMPLETE
5,0.21253813207149505,2025-09-06 22:39:55.457126,2025-09-06 22:39:56.586835,0 days 00:00:01.129709,64,0.03812282626847991,6,0.00395046101313102,48,COMPLETE
6,0.37530423402786256,2025-09-06 22:39:56.586919,2025-09-06 22:39:57.934299,0 days 00:00:01.347380,96,0.14580219173171427,8,0.00010879072238950288,64,COMPLETE
7,0.219837886095047,2025-09-06 22:39:57.934384,2025-09-06 22:39:58.961196,0 days 00:00:01.026812,96,0.012925923891677371,4,0.000746545580993569,64,COMPLETE
8,0.325246262550354,2025-09-06 22:39:58.961280,2025-09-06 22:39:59.820507,0 days 00:00:00.859227,112,0.2683976020541716,4,0.0002032911265014485,32,COMPLETE
9,0.21667447984218596,2025-09-06 22:39:59.820589,2025-09-06 22:40:01.304728,0 days 00:00:01.484139,64,0.03517993155112722,8,0.00140611317105539,96,COMPLETE
10,0.23534647822380067,2025-09-06 22:40:01.304813,2025-09-06 22:40:03.477231,0 days 00:00:02.172418,16,0.11449742355105198,1,1.6440865012535896e-05,128,COMPLETE
11,0.2872104376554489,2025-09-06 22:40:03.477309,2025-09-06 22:40:05.951062,0 days 00:00:02.473753,32,0.08909662173039226,6,0.009222646711318458,128,COMPLETE
12,0.19757348001003266,2025-09-06 22:40:05.951147,2025-09-06 22:40:06.720010,0 days 00:00:00.768863,48,0.07790065102072707,1,0.0013217080491988015,96,COMPLETE
13,0.1774459809064865,2025-09-06 22:40:06.720106,2025-09-06 22:40:08.151459,0 days 00:00:01.431353,32,0.09283322246025544,1,0.0006487994254317734,96,COMPLETE
14,0.16749771535396576,2025-09-06 22:40:08.151538,2025-09-06 22:40:09.820523,0 days 00:00:01.668985,32,0.19580771118766474,2,0.0004693862948569841,112,COMPLETE
15,0.2026393175125122,2025-09-06 22:40:09.820615,2025-09-06 22:40:11.369418,0 days 00:00:01.548803,32,0.2113605717567773,2,0.00039654804027158824,80,COMPLETE
16,0.18003345429897308,2025-09-06 22:40:11.369504,2025-09-06 22:40:13.037902,0 days 00:00:01.668398,32,0.18647603062651663,2,0.00036895092735449695,112,COMPLETE
17,0.16965559124946594,2025-09-06 22:40:13.037982,2025-09-06 22:40:13.954919,0 days 00:00:00.916937,128,0.2195739736293455,2,0.0006669002742113723,112,COMPLETE
18,0.21388538479804992,2025-09-06 22:40:13.955006,2025-09-06 22:40:14.985400,0 days 00:00:01.030394,112,0.22739663456704734,3,0.0001804575075167146,112,COMPLETE
19,0.2114527404308319,2025-09-06 22:40:14.985479,2025-09-06 22:40:16.272278,0 days 00:00:01.286799,128,0.19389683973502592,5,0.0006686634935119885,128,COMPLETE
20,0.740776777267456,2025-09-06 22:40:16.272367,2025-09-06 22:40:17.121306,0 days 00:00:00.848939,96,0.2580780812937902,2,1.4328969562756284e-05,80,COMPLETE
21,0.189861723780632,2025-09-06 22:40:17.121389,2025-09-06 22:40:18.043166,0 days 00:00:00.921777,80,0.14178163053014986,2,0.0006012986032545728,112,COMPLETE
22,0.19074908196926116,2025-09-06 22:40:18.043253,2025-09-06 22:40:18.807718,0 days 00:00:00.764465,128,0.18373075175503403,1,0.00019210379796754702,96,COMPLETE
23,0.21658077836036682,2025-09-06 22:40:18.807802,2025-09-06 22:40:21.306439,0 days 00:00:02.498637,16,0.12911200093194752,3,0.000956430952881646,80,COMPLETE
24,0.18418387770652772,2025-09-06 22:40:21.306521,2025-09-06 22:40:22.972027,0 days 00:00:01.665506,32,0.21917759232797174,2,0.0024090730121138367,112,COMPLETE
25,0.1827034294605255,2025-09-06 22:40:22.972114,2025-09-06 22:40:23.737830,0 days 00:00:00.765716,80,0.1789275687038359,1,0.00045269482850483967,96,COMPLETE
26,0.19011843502521514,2025-09-06 22:40:23.737916,2025-09-06 22:40:24.915994,0 days 00:00:01.178078,48,0.06435077430090569,4,0.0002163268021197372,128,COMPLETE
27,0.20381902158260345,2025-09-06 22:40:24.916085,2025-09-06 22:40:27.328207,0 days 00:00:02.412122,16,0.2958178463231017,2,0.00010777308780155529,112,COMPLETE
28,0.2016260713338852,2025-09-06 22:40:27.328292,2025-09-06 22:40:28.271285,0 days 00:00:00.942993,112,0.16172868255490094,3,0.0012297515561857295,80,COMPLETE
29,0.20990705192089082,2025-09-06 22:40:28.271367,2025-09-06 22:40:29.036694,0 days 00:00:00.765327,80,0.24339979294859201,1,0.0024924512625524144,96,COMPLETE
30,0.19136131107807158,2025-09-06 22:40:29.036773,2025-09-06 22:40:31.288777,0 days 00:00:02.252004,32,0.21256148415516096,5,0.00029466806426208544,128,COMPLETE
31,0.19748122990131378,2025-09-06 22:40:31.288860,2025-09-06 22:40:32.953821,0 days 00:00:01.664961,32,0.1984243789623202,2,0.000366153981215025,112,COMPLETE
32,0.18801512122154235,2025-09-06 22:40:32.953915,2025-09-06 22:40:33.869392,0 days 00:00:00.915477,48,0.23801922456743513,2,0.0005458950472225972,112,COMPLETE
33,0.19726547002792358,2025-09-06 22:40:33.869476,2025-09-06 22:40:35.720621,0 days 00:00:01.851145,32,0.17081249639727789,3,0.000114383695211061,112,COMPLETE
34,0.17769262194633484,2025-09-06 22:40:35.720705,2025-09-06 22:40:37.787257,0 days 00:00:02.066552,16,0.11378658544639297,1,0.0008595976762225614,96,COMPLETE
35,0.2203211724758148,2025-09-06 22:40:37.787338,2025-09-06 22:40:39.863171,0 days 00:00:02.075833,16,0.10580412564075331,1,0.0009739947472249329,96,COMPLETE
36,0.2217860162258148,2025-09-06 22:40:39.863255,2025-09-06 22:40:41.536649,0 days 00:00:01.673394,16,0.12659690370425675,1,0.001883960507707065,16,COMPLETE
37,0.19426879584789275,2025-09-06 22:40:41.536728,2025-09-06 22:40:42.273870,0 days 00:00:00.737142,48,0.06054703015994708,1,0.004335454060604666,64,COMPLETE
38,0.2144356906414032,2025-09-06 22:40:42.273952,2025-09-06 22:40:43.276116,0 days 00:00:01.002164,64,0.15265472929813975,3,0.0008963758391218195,80,COMPLETE
39,0.24981330037117006,2025-09-06 22:40:43.276200,2025-09-06 22:40:45.623741,0 days 00:00:02.347541,16,0.27946359062999726,2,4.327767815812189e-05,96,COMPLETE
40,0.15602957606315612,2025-09-06 22:40:45.623827,2025-09-06 22:40:46.347596,0 days 00:00:00.723769,48,0.09017326769051894,1,0.0002872125724014264,48,COMPLETE
41,0.19139657020568848,2025-09-06 22:40:46.347684,2025-09-06 22:40:47.101593,0 days 00:00:00.753909,48,0.08064718307182611,1,0.0002665690540536802,48,COMPLETE
42,0.20339440405368805,2025-09-06 22:40:47.101678,2025-09-06 22:40:48.279572,0 days 00:00:01.177894,32,0.11271629435641063,1,0.0005129617033632008,32,COMPLETE
43,0.21393001675605774,2025-09-06 22:40:48.279658,2025-09-06 22:40:49.013048,0 days 00:00:00.733390,48,0.057011679136455176,1,0.0001533501339682534,64,COMPLETE
44,0.2126015990972519,2025-09-06 22:40:49.013121,2025-09-06 22:40:50.219712,0 days 00:00:01.206591,64,0.09397282407082343,7,0.0007700308387061596,48,COMPLETE
45,0.2054867058992386,2025-09-06 22:40:50.219802,2025-09-06 22:40:52.115685,0 days 00:00:01.895883,16,0.021129178554840256,2,0.00030388760822143695,16,COMPLETE
46,0.22134669721126557,2025-09-06 22:40:52.115776,2025-09-06 22:40:53.483832,0 days 00:00:01.368056,32,0.13727094533945725,1,6.633633280688655e-05,64,COMPLETE
47,0.2008301705121994,2025-09-06 22:40:53.483927,2025-09-06 22:40:54.786776,0 days 00:00:01.302849,32,0.07945456044507049,2,0.0015650532257350707,32,COMPLETE
48,0.18757080733776094,2025-09-06 22:40:54.786857,2025-09-06 22:40:55.862976,0 days 00:00:01.076119,48,0.12203983968245836,4,0.0004579180314340173,96,COMPLETE
49,0.1896033763885498,2025-09-06 22:40:55.863065,2025-09-06 22:40:56.916596,0 days 00:00:01.053531,64,0.09634079609771037,3,0.0010748260410782843,128,COMPLETE
