number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.2370133340358734,2025-09-04 18:22:59.595109,2025-09-04 18:23:02.357441,0 days 00:00:02.762332,80,0.03478968335253325,4,0.006693253350914584,64,COMPLETE
1,0.31907279789447784,2025-09-04 18:23:02.357543,2025-09-04 18:23:05.862171,0 days 00:00:03.504628,16,0.21190474620939928,7,8.904666495473688e-05,64,COMPLETE
2,0.7950981855392456,2025-09-04 18:23:05.862262,2025-09-04 18:23:07.186620,0 days 00:00:01.324358,48,0.09366756696537956,7,1.2674820611304998e-05,64,COMPLETE
3,0.2540756016969681,2025-09-04 18:23:07.186707,2025-09-04 18:23:08.547802,0 days 00:00:01.361095,96,0.02604469206561071,7,0.0045596302643211165,80,COMPLETE
4,0.49112100899219513,2025-09-04 18:23:08.547909,2025-09-04 18:23:10.259106,0 days 00:00:01.711197,32,0.2775898622876197,5,0.009675592097003582,16,COMPLETE
5,0.26791606545448304,2025-09-04 18:23:10.259187,2025-09-04 18:23:13.030040,0 days 00:00:02.770853,16,0.09130979507306584,6,0.0004074263672540394,16,COMPLETE
6,0.22928919792175292,2025-09-04 18:23:13.030129,2025-09-04 18:23:16.863076,0 days 00:00:03.832947,16,0.03734752911064813,7,5.74881759618826e-05,112,COMPLETE
7,0.7980574369430542,2025-09-04 18:23:16.863173,2025-09-04 18:23:20.305910,0 days 00:00:03.442737,16,0.2547743590352231,7,2.551455289511945e-05,48,COMPLETE
8,0.797684109210968,2025-09-04 18:23:20.306000,2025-09-04 18:23:21.651347,0 days 00:00:01.345347,96,0.18863052424471813,8,4.465673154251313e-05,48,COMPLETE
9,0.2673060804605484,2025-09-04 18:23:21.651430,2025-09-04 18:23:23.158400,0 days 00:00:01.506970,48,0.05343435292945816,8,0.0070828531577583715,64,COMPLETE
10,0.20256001353263856,2025-09-04 18:23:23.158497,2025-09-04 18:23:23.976147,0 days 00:00:00.817650,128,0.1329346135140107,1,0.0002620259257348002,128,COMPLETE
11,0.17685020864009857,2025-09-04 18:23:23.976234,2025-09-04 18:23:24.786337,0 days 00:00:00.810103,128,0.1351767596228538,1,0.0003874006731996952,128,COMPLETE
12,0.17257156372070312,2025-09-04 18:23:24.786416,2025-09-04 18:23:25.592128,0 days 00:00:00.805712,128,0.14176867179384675,1,0.0005071920200319211,128,COMPLETE
13,0.16342433989048005,2025-09-04 18:23:25.592210,2025-09-04 18:23:26.388489,0 days 00:00:00.796279,128,0.15633607466642782,1,0.0006351309896587648,112,COMPLETE
14,0.2079177111387253,2025-09-04 18:23:26.388572,2025-09-04 18:23:27.381052,0 days 00:00:00.992480,112,0.18291436185579124,3,0.0013475294743797597,96,COMPLETE
15,0.1879034996032715,2025-09-04 18:23:27.381135,2025-09-04 18:23:28.295321,0 days 00:00:00.914186,112,0.09879470913845706,2,0.0014012597694243358,112,COMPLETE
16,0.18712370097637177,2025-09-04 18:23:28.295410,2025-09-04 18:23:29.185424,0 days 00:00:00.890014,128,0.1608472192511216,2,0.0011884393384772908,96,COMPLETE
17,0.20581812262535096,2025-09-04 18:23:29.185506,2025-09-04 18:23:30.208289,0 days 00:00:01.022783,80,0.22797991951815486,3,0.0001560173455672645,112,COMPLETE
18,0.19276208579540252,2025-09-04 18:23:30.208369,2025-09-04 18:23:31.137615,0 days 00:00:00.929246,112,0.1570533079536763,2,0.0008233762177571145,128,COMPLETE
19,0.1930042862892151,2025-09-04 18:23:31.137702,2025-09-04 18:23:31.910158,0 days 00:00:00.772456,96,0.11600242233501286,1,0.0033775496224490707,96,COMPLETE
20,0.19363731741905213,2025-09-04 18:23:31.910263,2025-09-04 18:23:32.949088,0 days 00:00:01.038825,64,0.18695150349130787,3,0.0005795659347031109,112,COMPLETE
21,0.17939940392971038,2025-09-04 18:23:32.949170,2025-09-04 18:23:33.758183,0 days 00:00:00.809013,128,0.13363121270164663,1,0.00021299572395690829,128,COMPLETE
22,0.19758013188838958,2025-09-04 18:23:33.758282,2025-09-04 18:23:34.563253,0 days 00:00:00.804971,128,0.07745467736228498,1,0.002459422691497205,128,COMPLETE
23,0.19452392756938935,2025-09-04 18:23:34.563336,2025-09-04 18:23:35.498685,0 days 00:00:00.935349,112,0.14453572821218635,2,0.0004724477559849323,128,COMPLETE
24,0.1889076054096222,2025-09-04 18:23:35.498772,2025-09-04 18:23:36.634906,0 days 00:00:01.136134,128,0.21576381120173915,4,0.0007095299049314317,112,COMPLETE
25,0.17383000552654265,2025-09-04 18:23:36.634983,2025-09-04 18:23:37.407618,0 days 00:00:00.772635,112,0.0017877029169904857,1,0.00014907260120197263,96,COMPLETE
26,0.19104466438293458,2025-09-04 18:23:37.407701,2025-09-04 18:23:38.268005,0 days 00:00:00.860304,112,0.06807210408388627,2,0.00011523555581466906,80,COMPLETE
27,0.20503775477409364,2025-09-04 18:23:38.268092,2025-09-04 18:23:39.264664,0 days 00:00:00.996572,96,0.24563412120369693,3,0.0002467254193332443,96,COMPLETE
28,0.21506379842758178,2025-09-04 18:23:39.264749,2025-09-04 18:23:40.020633,0 days 00:00:00.755884,112,0.11055189093880707,1,7.666461981560056e-05,80,COMPLETE
