number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.43688775300979615,2025-09-04 18:49:23.308885,2025-09-04 18:49:24.577206,0 days 00:00:01.268321,112,0.15005449042371274,1,2.1145024607287435e-05,112,COMPLETE
1,0.31533652544021606,2025-09-04 18:49:24.577328,2025-09-04 18:49:25.786172,0 days 00:00:01.208844,64,0.003397177987344135,7,4.79531517205141e-05,48,COMPLETE
2,0.8039718747138977,2025-09-04 18:49:25.786265,2025-09-04 18:49:26.706264,0 days 00:00:00.919999,128,0.28880213649470715,5,3.308070528824159e-05,32,COMPLETE
3,0.30155458450317385,2025-09-04 18:49:26.706352,2025-09-04 18:49:29.163054,0 days 00:00:02.456702,16,0.1559341784342734,3,4.5384865330654555e-05,64,COMPLETE
4,0.7870983839035034,2025-09-04 18:49:29.163137,2025-09-04 18:49:30.015704,0 days 00:00:00.852567,48,0.15100193041831259,4,1.6244843489487013e-05,32,COMPLETE
5,0.1908739000558853,2025-09-04 18:49:30.015801,2025-09-04 18:49:31.656108,0 days 00:00:01.640307,80,0.029593238213217708,8,0.00012057364616252487,128,COMPLETE
6,0.5666162133216858,2025-09-04 18:49:31.656196,2025-09-04 18:49:32.337108,0 days 00:00:00.680912,128,0.02072627173083762,2,6.798347517992772e-05,16,COMPLETE
7,0.7999973893165588,2025-09-04 18:49:32.337193,2025-09-04 18:49:33.475873,0 days 00:00:01.138680,96,0.28781064837212866,8,0.00011184543400888841,32,COMPLETE
8,0.7967310905456543,2025-09-04 18:49:33.475970,2025-09-04 18:49:34.698824,0 days 00:00:01.222854,48,0.28733815976202276,6,1.244561976699453e-05,80,COMPLETE
9,0.2661260426044464,2025-09-04 18:49:34.698908,2025-09-04 18:49:35.989505,0 days 00:00:01.290597,112,0.14313354936373973,8,0.0026848803608280876,48,COMPLETE
10,0.2027153730392456,2025-09-04 18:49:35.989592,2025-09-04 18:49:37.381834,0 days 00:00:01.392242,80,0.07724466071745048,6,0.0008302453234927327,128,COMPLETE
11,0.19750672876834868,2025-09-04 18:49:37.381933,2025-09-04 18:49:38.804672,0 days 00:00:01.422739,80,0.06984855301245534,6,0.0007233996440996723,128,COMPLETE
12,0.2226778507232666,2025-09-04 18:49:38.804761,2025-09-04 18:49:40.192702,0 days 00:00:01.387941,80,0.06873704894607602,7,0.00028971882382309807,96,COMPLETE
13,0.20761549472808838,2025-09-04 18:49:40.192792,2025-09-04 18:49:41.591002,0 days 00:00:01.398210,64,0.06717729380948154,6,0.0006779904645606199,128,COMPLETE
14,0.23865941762924195,2025-09-04 18:49:41.591086,2025-09-04 18:49:43.147401,0 days 00:00:01.556315,96,0.10799518125934626,8,0.004346395644500642,112,COMPLETE
15,0.22072131633758546,2025-09-04 18:49:43.147480,2025-09-04 18:49:45.228354,0 days 00:00:02.080874,32,0.02996743815762012,5,0.00019718529758337602,96,COMPLETE
