number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.2158033311367035,2025-09-04 18:24:52.317027,2025-09-04 18:24:53.472531,0 days 00:00:01.155504,48,0.24405257188606358,4,0.0006212553760132315,80,COMPLETE
1,0.22369578182697297,2025-09-04 18:24:53.472613,2025-09-04 18:24:54.590559,0 days 00:00:01.117946,96,0.2489060119993296,3,9.885402424650817e-05,128,COMPLETE
2,0.22396604120731353,2025-09-04 18:24:54.590644,2025-09-04 18:24:55.728047,0 days 00:00:01.137403,48,0.20732503512635878,4,0.0028445192040603778,80,COMPLETE
3,0.20211495757102965,2025-09-04 18:24:55.728140,2025-09-04 18:24:57.038999,0 days 00:00:01.310859,112,0.02917951818570239,7,0.0002976911185027551,48,COMPLETE
4,0.6387871623039245,2025-09-04 18:24:57.039093,2025-09-04 18:24:58.372381,0 days 00:00:01.333288,64,0.07366264431315825,7,3.0101423155269158e-05,64,COMPLETE
5,0.19859108924865723,2025-09-04 18:24:58.372469,2025-09-04 18:24:59.738342,0 days 00:00:01.365873,48,0.021849888133368734,5,0.00010213696397082864,112,COMPLETE
6,0.18778746724128723,2025-09-04 18:24:59.738423,2025-09-04 18:25:00.553057,0 days 00:00:00.814634,80,0.08726365663260623,1,0.0023891058824238513,80,COMPLETE
7,0.300076887011528,2025-09-04 18:25:00.553152,2025-09-04 18:25:04.075828,0 days 00:00:03.522676,16,0.005672992361862272,6,1.4625460001182625e-05,96,COMPLETE
8,0.2049626350402832,2025-09-04 18:25:04.075910,2025-09-04 18:25:05.053599,0 days 00:00:00.977689,80,0.2805728679441645,2,0.004778227634902419,128,COMPLETE
9,0.23536441028118132,2025-09-04 18:25:05.053691,2025-09-04 18:25:05.908448,0 days 00:00:00.854757,64,0.2628958459112951,2,0.00020810012040701047,48,COMPLETE
10,0.19578406810760499,2025-09-04 18:25:05.908617,2025-09-04 18:25:06.546530,0 days 00:00:00.637913,128,0.12533386400588378,1,0.0010647877523437639,16,COMPLETE
11,0.21280256509780884,2025-09-04 18:25:06.546622,2025-09-04 18:25:07.179675,0 days 00:00:00.633053,128,0.12500793028251542,1,0.0011852128934861195,16,COMPLETE
12,0.22336920499801635,2025-09-04 18:25:07.179763,2025-09-04 18:25:07.808056,0 days 00:00:00.628293,128,0.13428109580891426,1,0.0016778690094520282,16,COMPLETE
13,0.2145530253648758,2025-09-04 18:25:07.808145,2025-09-04 18:25:08.667903,0 days 00:00:00.859758,96,0.0871784025435336,2,0.008079864432466671,48,COMPLETE
14,0.20567797720432282,2025-09-04 18:25:08.667990,2025-09-04 18:25:10.492294,0 days 00:00:01.824304,16,0.16114560407462175,1,0.0006701538272597654,32,COMPLETE
15,0.20507572889328002,2025-09-04 18:25:10.492400,2025-09-04 18:25:11.510883,0 days 00:00:01.018483,112,0.18183417149272812,3,0.0022722714976698213,96,COMPLETE
16,0.23583847880363465,2025-09-04 18:25:11.510974,2025-09-04 18:25:12.543343,0 days 00:00:01.032369,96,0.08727293661731926,3,0.009367170346335043,64,COMPLETE
17,0.20182881355285645,2025-09-04 18:25:12.543442,2025-09-04 18:25:14.216762,0 days 00:00:01.673320,80,0.064614185497357,8,0.0008867340405906077,96,COMPLETE
18,0.23202256560325624,2025-09-04 18:25:14.216882,2025-09-04 18:25:14.858730,0 days 00:00:00.641848,112,0.1172319504536958,1,0.0035727294963798658,32,COMPLETE
19,0.25862703025341033,2025-09-04 18:25:14.858821,2025-09-04 18:25:15.832221,0 days 00:00:00.973400,128,0.04995827067451648,5,0.0005082658670805296,32,COMPLETE
20,0.2097609132528305,2025-09-04 18:25:15.832308,2025-09-04 18:25:17.536675,0 days 00:00:01.704367,32,0.2072168076137647,2,0.00013369768636893175,64,COMPLETE
21,0.2242150753736496,2025-09-04 18:25:17.536756,2025-09-04 18:25:18.841561,0 days 00:00:01.304805,48,0.011732587099430425,5,5.1971454765779356e-05,112,COMPLETE
22,0.237481227517128,2025-09-04 18:25:18.841646,2025-09-04 18:25:21.417312,0 days 00:00:02.575666,32,0.09505841419779569,6,7.199570851652726e-05,112,COMPLETE
23,0.2052174136042595,2025-09-04 18:25:21.417433,2025-09-04 18:25:22.670044,0 days 00:00:01.252611,64,0.038561958482803305,4,0.000293915843407059,112,COMPLETE
24,0.24821109771728517,2025-09-04 18:25:22.670159,2025-09-04 18:25:25.124254,0 days 00:00:02.454095,32,0.15809656776607695,6,0.001476373351177122,80,COMPLETE
25,0.2187276691198349,2025-09-04 18:25:25.124345,2025-09-04 18:25:26.403492,0 days 00:00:01.279147,80,0.10139610802234515,5,0.00016501694263367528,96,COMPLETE
26,0.2292074203491211,2025-09-04 18:25:26.403580,2025-09-04 18:25:27.506851,0 days 00:00:01.103271,48,0.05707533354018485,3,4.141607319990338e-05,128,COMPLETE
27,0.2033044546842575,2025-09-04 18:25:27.506943,2025-09-04 18:25:28.445356,0 days 00:00:00.938413,64,0.029684350065741077,2,0.0004379403869421473,112,COMPLETE
28,0.1891424149274826,2025-09-04 18:25:28.445445,2025-09-04 18:25:29.226010,0 days 00:00:00.780565,96,0.142423117779276,1,0.005480327035012977,80,COMPLETE
29,0.2365982264280319,2025-09-04 18:25:29.226112,2025-09-04 18:25:30.010628,0 days 00:00:00.784516,96,0.18609174532691874,1,0.006264927467623035,80,COMPLETE
30,0.20219194293022155,2025-09-04 18:25:30.010726,2025-09-04 18:25:30.814370,0 days 00:00:00.803644,112,0.1398071749834055,1,0.0036621922830004,80,COMPLETE
31,0.21626389920711517,2025-09-04 18:25:30.814465,2025-09-04 18:25:31.874630,0 days 00:00:01.060165,80,0.11730767334839516,4,0.0023103354132937523,64,COMPLETE
32,0.2000015825033188,2025-09-04 18:25:31.874892,2025-09-04 18:25:32.801603,0 days 00:00:00.926711,96,0.1049792071621384,2,0.000806612026894984,96,COMPLETE
33,0.24451672434806823,2025-09-04 18:25:32.801685,2025-09-04 18:25:33.795593,0 days 00:00:00.993908,80,0.17366339514643547,3,0.005361920767535251,80,COMPLETE
34,0.22003015875816345,2025-09-04 18:25:33.795681,2025-09-04 18:25:34.810337,0 days 00:00:01.014656,96,0.15055765784797087,4,0.0018198685313538358,48,COMPLETE
35,0.18764491975307465,2025-09-04 18:25:34.810427,2025-09-04 18:25:35.572258,0 days 00:00:00.761831,112,0.2039103388119389,1,0.0012271835960705798,64,COMPLETE
36,0.18883345127105713,2025-09-04 18:25:35.572345,2025-09-04 18:25:36.337523,0 days 00:00:00.765178,112,0.22383779417431518,1,0.001087157944861126,64,COMPLETE
37,0.2104131519794464,2025-09-04 18:25:36.337611,2025-09-04 18:25:37.199479,0 days 00:00:00.861868,112,0.2255898280467823,2,0.003022091760925011,64,COMPLETE
