number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.758732259273529,2025-09-04 18:51:41.830941,2025-09-04 18:51:42.480326,0 days 00:00:00.649385,128,0.09590700951202707,1,1.0643282310660093e-05,32,COMPLETE
1,0.22096778750419616,2025-09-04 18:51:42.480419,2025-09-04 18:51:43.975151,0 days 00:00:01.494732,48,0.1766441669172119,7,0.00013684636565915252,112,COMPLETE
2,0.7452616453170776,2025-09-04 18:51:43.975241,2025-09-04 18:51:45.112835,0 days 00:00:01.137594,32,0.07408105885739825,1,2.3225611559073008e-05,16,COMPLETE
3,0.6894139766693115,2025-09-04 18:51:45.112929,2025-09-04 18:51:46.629973,0 days 00:00:01.517044,80,0.05954153577024035,8,2.27304818912178e-05,96,COMPLETE
4,0.22261386513710021,2025-09-04 18:51:46.630060,2025-09-04 18:51:48.066779,0 days 00:00:01.436719,128,0.15915740946103177,7,0.0015768648043346595,96,COMPLETE
5,0.24227638840675353,2025-09-04 18:51:48.066921,2025-09-04 18:51:49.473678,0 days 00:00:01.406757,128,0.045643391504669374,6,0.00744455817509697,112,COMPLETE
6,0.29135567247867583,2025-09-04 18:51:49.473764,2025-09-04 18:51:52.217785,0 days 00:00:02.744021,16,0.06011405828280901,6,0.00010952162988019821,32,COMPLETE
7,0.2850004076957703,2025-09-04 18:51:52.217878,2025-09-04 18:51:54.569075,0 days 00:00:02.351197,16,0.07783875980608898,2,1.692916663584775e-05,96,COMPLETE
8,0.4821628093719482,2025-09-04 18:51:54.569165,2025-09-04 18:51:57.437258,0 days 00:00:02.868093,16,0.24915632491660278,7,0.0005313386716417691,16,COMPLETE
9,0.6883103132247925,2025-09-04 18:51:57.437351,2025-09-04 18:51:59.118141,0 days 00:00:01.680790,32,0.03967130851748076,3,1.7757675137164168e-05,48,COMPLETE
10,0.22551392912864685,2025-09-04 18:51:59.118231,2025-09-04 18:52:00.334534,0 days 00:00:01.216303,64,0.21158176494557068,4,0.00012718121405712557,128,COMPLETE
11,0.21478635668754578,2025-09-04 18:52:00.334624,2025-09-04 18:52:01.748165,0 days 00:00:01.413541,80,0.1656501932395604,8,0.0010891350409520824,80,COMPLETE
12,0.2299641788005829,2025-09-04 18:52:01.748255,2025-09-04 18:52:03.094684,0 days 00:00:01.346429,80,0.15998441754847267,8,0.0008721116167478748,64,COMPLETE
13,0.25262433886528013,2025-09-04 18:52:03.094773,2025-09-04 18:52:04.238383,0 days 00:00:01.143610,64,0.2085802582922498,5,0.00016083126153009508,80,COMPLETE
14,0.3045259594917297,2025-09-04 18:52:04.238464,2025-09-04 18:52:05.944495,0 days 00:00:01.706031,96,0.28630594849879876,8,0.0029458506512450365,128,COMPLETE
