number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.26092813313007357,2025-09-12 11:29:11.316210,2025-09-12 11:29:12.483833,0 days 00:00:01.167623,128,0.08211546971541697,2,0.001683271783960369,16,COMPLETE
1,0.21298302114009857,2025-09-12 11:29:12.483924,2025-09-12 11:29:15.358820,0 days 00:00:02.874896,16,0.16146182136773748,4,0.00045409228203768825,96,COMPLETE
2,0.1978960543870926,2025-09-12 11:29:15.359016,2025-09-12 11:29:18.239920,0 days 00:00:02.880904,16,0.29497719363653174,4,0.00014499540304358316,112,COMPLETE
3,0.20378168523311616,2025-09-12 11:29:18.240009,2025-09-12 11:29:21.614791,0 days 00:00:03.374782,16,0.08899461661740692,6,9.413301570514899e-05,128,COMPLETE
4,0.23336012065410613,2025-09-12 11:29:21.614883,2025-09-12 11:29:22.619035,0 days 00:00:01.004152,48,0.053380115977470874,3,0.003322327610860839,112,COMPLETE
5,0.7789288759231567,2025-09-12 11:29:22.619118,2025-09-12 11:29:24.032973,0 days 00:00:01.413855,48,0.15457891165982834,8,2.3471720742844783e-05,80,COMPLETE
6,0.2590099096298218,2025-09-12 11:29:24.033052,2025-09-12 11:29:25.461237,0 days 00:00:01.428185,128,0.24999792470311935,7,0.00031876262047981444,112,COMPLETE
7,0.2008465200662613,2025-09-12 11:29:25.461325,2025-09-12 11:29:26.173852,0 days 00:00:00.712527,48,0.29410858198799034,1,0.0018326701236291152,48,COMPLETE
8,0.207809379696846,2025-09-12 11:29:26.173947,2025-09-12 11:29:27.564195,0 days 00:00:01.390248,32,0.1356419867673257,1,0.0001730463474062937,80,COMPLETE
9,0.22703906893730164,2025-09-12 11:29:27.564276,2025-09-12 11:29:28.917158,0 days 00:00:01.352882,96,0.14424132420690153,7,0.0006817433829033539,96,COMPLETE
10,0.7933770298957825,2025-09-12 11:29:28.917238,2025-09-12 11:29:29.952330,0 days 00:00:01.035092,80,0.2247910527684263,5,1.794238442440307e-05,48,COMPLETE
11,0.1979486882686615,2025-09-12 11:29:29.952407,2025-09-12 11:29:30.670604,0 days 00:00:00.718197,48,0.2935320935453902,1,0.0058997906298550885,48,COMPLETE
12,0.24278028607368468,2025-09-12 11:29:30.670689,2025-09-12 11:29:31.542266,0 days 00:00:00.871577,64,0.29264416642514773,3,0.00783910303738817,48,COMPLETE
13,0.7140016496181488,2025-09-12 11:29:31.542345,2025-09-12 11:29:33.780659,0 days 00:00:02.238314,16,0.22391977193170323,4,5.547368762225214e-05,16,COMPLETE
