number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.2553828120231628,2025-09-07 00:22:37.597908,2025-09-07 00:22:39.584419,0 days 00:00:01.986511,96,0.10703120088490466,7,8.62677330919695e-05,128,COMPLETE
1,0.23445352613925935,2025-09-07 00:22:39.584510,2025-09-07 00:22:41.859076,0 days 00:00:02.274566,32,0.05597927481052199,7,9.353575526784535e-05,80,COMPLETE
2,0.17703773081302643,2025-09-07 00:22:41.859166,2025-09-07 00:22:42.616928,0 days 00:00:00.757762,112,0.1576681247523347,1,9.673697324043532e-05,128,COMPLETE
3,0.7835318088531494,2025-09-07 00:22:42.617016,2025-09-07 00:22:43.459718,0 days 00:00:00.842702,48,0.006335774095703006,4,1.6529694205304383e-05,32,COMPLETE
4,0.25140261054039004,2025-09-07 00:22:43.459799,2025-09-07 00:22:44.355474,0 days 00:00:00.895675,48,0.2819134918744502,3,0.00020858431263148433,48,COMPLETE
5,0.36706089079380033,2025-09-07 00:22:44.355560,2025-09-07 00:22:46.431487,0 days 00:00:02.075927,16,0.20276864306911638,3,0.0003075908719148028,16,COMPLETE
6,0.23351367115974425,2025-09-07 00:22:46.431583,2025-09-07 00:22:47.587965,0 days 00:00:01.156382,96,0.2671897976234858,5,0.0002597199449104271,80,COMPLETE
7,0.32548829913139343,2025-09-07 00:22:47.588056,2025-09-07 00:22:48.289540,0 days 00:00:00.701484,96,0.17062459212706946,2,0.00011476051761880727,32,COMPLETE
8,0.23250345885753632,2025-09-07 00:22:48.289634,2025-09-07 00:22:49.584400,0 days 00:00:01.294766,128,0.13931180216723138,7,0.004308256653131675,80,COMPLETE
9,0.3142533808946609,2025-09-07 00:22:49.584492,2025-09-07 00:22:50.628948,0 days 00:00:01.044456,80,0.15626789273822592,4,4.137149468098973e-05,96,COMPLETE
10,0.1807206392288208,2025-09-07 00:22:50.629028,2025-09-07 00:22:51.394561,0 days 00:00:00.765533,128,0.23244733455528793,1,0.001800965161402823,128,COMPLETE
11,0.19248909652233123,2025-09-07 00:22:51.394644,2025-09-07 00:22:52.167848,0 days 00:00:00.773204,128,0.22591357767923717,1,0.0024206618284462055,128,COMPLETE
12,0.16205792129039764,2025-09-07 00:22:52.167925,2025-09-07 00:22:52.927590,0 days 00:00:00.759665,128,0.22859491540745652,1,0.0012089300956366217,112,COMPLETE
13,0.1939431518316269,2025-09-07 00:22:52.927668,2025-09-07 00:22:53.688119,0 days 00:00:00.760451,112,0.1067938308276055,1,0.000996186571295083,112,COMPLETE
14,0.22040932178497313,2025-09-07 00:22:53.688201,2025-09-07 00:22:54.557302,0 days 00:00:00.869101,112,0.19942942161781638,2,0.00889304490177149,112,COMPLETE
15,0.21822448968887329,2025-09-07 00:22:54.557385,2025-09-07 00:22:55.426554,0 days 00:00:00.869169,64,0.29518894607961166,2,0.0009461906123402816,112,COMPLETE
16,0.22124530375003815,2025-09-07 00:22:55.426638,2025-09-07 00:22:56.576925,0 days 00:00:01.150287,112,0.2402905908032114,5,0.000610403967737335,96,COMPLETE
17,0.7793594598770142,2025-09-07 00:22:56.577003,2025-09-07 00:22:57.470688,0 days 00:00:00.893685,80,0.10239153564986483,3,1.1038224232757528e-05,64,COMPLETE
18,0.22728751897811889,2025-09-07 00:22:57.470767,2025-09-07 00:22:58.907916,0 days 00:00:01.437149,112,0.1817220793564948,8,0.0005818745630989795,96,COMPLETE
19,0.2759501725435257,2025-09-07 00:22:58.908002,2025-09-07 00:22:59.663920,0 days 00:00:00.755918,128,0.13410545992693934,1,2.910976151621452e-05,112,COMPLETE
20,0.2250444322824478,2025-09-07 00:22:59.664000,2025-09-07 00:23:00.556113,0 days 00:00:00.892113,96,0.06249008967330884,2,4.381823690888055e-05,128,COMPLETE
21,0.19646183550357818,2025-09-07 00:23:00.556194,2025-09-07 00:23:01.321424,0 days 00:00:00.765230,128,0.2499882657709788,1,0.002234735881278138,128,COMPLETE
22,0.18654085993766784,2025-09-07 00:23:01.321509,2025-09-07 00:23:02.100276,0 days 00:00:00.778767,128,0.2171301146191212,1,0.0015093885631949251,128,COMPLETE
23,0.22019659578800202,2025-09-07 00:23:02.100351,2025-09-07 00:23:02.975087,0 days 00:00:00.874736,112,0.2558855752829882,2,0.005024533004827121,112,COMPLETE
24,0.1751072645187378,2025-09-07 00:23:02.975167,2025-09-07 00:23:03.925662,0 days 00:00:00.950495,128,0.1828091042434521,3,0.00047663065667034605,96,COMPLETE
25,0.2214071959257126,2025-09-07 00:23:03.925741,2025-09-07 00:23:04.876151,0 days 00:00:00.950410,112,0.18796424749454976,3,0.00015778917519422756,96,COMPLETE
26,0.21921892166137696,2025-09-07 00:23:04.876233,2025-09-07 00:23:05.853810,0 days 00:00:00.977577,128,0.16209231570319338,4,0.00041961771317235977,64,COMPLETE
27,0.20316877365112304,2025-09-07 00:23:05.853890,2025-09-07 00:23:06.705816,0 days 00:00:00.851926,80,0.12465420303889925,2,0.0007740288025708419,96,COMPLETE
28,0.20972080826759337,2025-09-07 00:23:06.705902,2025-09-07 00:23:07.900416,0 days 00:00:01.194514,96,0.19264009485764746,5,0.00041345244973019815,112,COMPLETE
