number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.20810885429382325,2025-09-04 18:57:13.286900,2025-09-04 18:57:14.649310,0 days 00:00:01.362410,128,0.1260469357549746,2,0.0021315191576651653,80,COMPLETE
1,0.2633501082658768,2025-09-04 18:57:14.649414,2025-09-04 18:57:15.707143,0 days 00:00:01.057729,80,0.26273409341301174,5,0.0021212256945029816,48,COMPLETE
2,0.18509677648544312,2025-09-04 18:57:15.707227,2025-09-04 18:57:17.347331,0 days 00:00:01.640104,32,0.11665985679247516,2,0.0006000695202065223,112,COMPLETE
3,0.21054198443889618,2025-09-04 18:57:17.347417,2025-09-04 18:57:18.383715,0 days 00:00:01.036298,112,0.24995549689831267,4,0.0004795377285171765,80,COMPLETE
4,0.2531653195619583,2025-09-04 18:57:18.383792,2025-09-04 18:57:19.861406,0 days 00:00:01.477614,96,0.11805812254641575,8,0.002876648520439686,96,COMPLETE
5,0.3735197395086288,2025-09-04 18:57:19.861492,2025-09-04 18:57:20.885358,0 days 00:00:01.023866,64,0.168216169957666,7,0.000570537572966212,16,COMPLETE
6,0.2075873702764511,2025-09-04 18:57:20.885434,2025-09-04 18:57:22.155983,0 days 00:00:01.270549,64,0.18661016026420627,7,0.0006801761073070872,64,COMPLETE
7,0.7863502502441406,2025-09-04 18:57:22.156066,2025-09-04 18:57:23.084524,0 days 00:00:00.928458,48,0.24756597671173325,5,0.00012505741494393043,16,COMPLETE
8,0.25738323032855986,2025-09-04 18:57:23.084614,2025-09-04 18:57:23.811390,0 days 00:00:00.726776,112,0.2952921101096179,1,9.972568620675267e-05,48,COMPLETE
9,0.2836653679609299,2025-09-04 18:57:23.811476,2025-09-04 18:57:24.729534,0 days 00:00:00.918058,112,0.07111960665150226,5,0.00314538133940406,16,COMPLETE
10,0.22180055975914,2025-09-04 18:57:24.729618,2025-09-04 18:57:27.409246,0 days 00:00:02.679628,16,0.013441513252635692,3,1.692765594808665e-05,128,COMPLETE
11,0.19936141669750213,2025-09-04 18:57:27.409341,2025-09-04 18:57:30.035422,0 days 00:00:02.626081,32,0.1865871895757662,7,0.0006376342861201253,128,COMPLETE
12,0.1763576865196228,2025-09-04 18:57:30.035517,2025-09-04 18:57:32.199784,0 days 00:00:02.164267,16,0.09098894725728812,1,0.0001607501819223453,128,COMPLETE
13,0.1890971153974533,2025-09-04 18:57:32.199874,2025-09-04 18:57:34.314703,0 days 00:00:02.114829,16,0.068764011470038,1,0.00012375104278364136,112,COMPLETE
14,0.21480042338371277,2025-09-04 18:57:34.314791,2025-09-04 18:57:35.997062,0 days 00:00:01.682271,32,0.07137336322083287,2,3.9386804805959504e-05,112,COMPLETE
15,0.25287705957889556,2025-09-04 18:57:35.997145,2025-09-04 18:57:37.947592,0 days 00:00:01.950447,32,0.00901699466750383,3,0.007261943120975492,112,COMPLETE
16,0.17150615453720092,2025-09-04 18:57:37.947686,2025-09-04 18:57:38.947279,0 days 00:00:00.999593,48,0.11737980709750513,2,0.0002485370212266648,128,COMPLETE
17,0.19764094054698944,2025-09-04 18:57:38.947365,2025-09-04 18:57:39.800479,0 days 00:00:00.853114,48,0.045478602691472,1,0.0002216729221593125,128,COMPLETE
18,0.3084326446056366,2025-09-04 18:57:39.800573,2025-09-04 18:57:40.817236,0 days 00:00:01.016663,48,0.14417705437248904,3,3.965783716998993e-05,96,COMPLETE
19,0.22530303597450257,2025-09-04 18:57:40.817316,2025-09-04 18:57:43.682933,0 days 00:00:02.865617,16,0.09661389918627106,4,5.075564769973411e-05,96,COMPLETE
20,0.18955794274806975,2025-09-04 18:57:43.683021,2025-09-04 18:57:44.651288,0 days 00:00:00.968267,80,0.21162989788147643,2,0.0002437162957430946,128,COMPLETE
21,0.19329433143138885,2025-09-04 18:57:44.651377,2025-09-04 18:57:46.357945,0 days 00:00:01.706568,32,0.10655000167413445,2,0.001418527121933137,112,COMPLETE
22,0.19591972827911378,2025-09-04 18:57:46.358036,2025-09-04 18:57:47.230234,0 days 00:00:00.872198,48,0.14855501096687293,1,0.0002955119947565499,128,COMPLETE
23,0.18793001174926757,2025-09-04 18:57:47.230320,2025-09-04 18:57:49.998373,0 days 00:00:02.768053,16,0.09215792984551824,3,0.0010294587192619309,112,COMPLETE
24,0.1955967515707016,2025-09-04 18:57:49.998466,2025-09-04 18:57:51.646665,0 days 00:00:01.648199,32,0.04310392972065863,2,8.466793301751334e-05,96,COMPLETE
25,0.18598399460315704,2025-09-04 18:57:51.646758,2025-09-04 18:57:52.523256,0 days 00:00:00.876498,64,0.12965890025349344,1,0.00020901183855561443,128,COMPLETE
26,0.2078312873840332,2025-09-04 18:57:52.523347,2025-09-04 18:57:53.797191,0 days 00:00:01.273844,48,0.046263737335546035,4,0.0003525376278408178,112,COMPLETE
27,0.21447878181934357,2025-09-04 18:57:53.797280,2025-09-04 18:57:56.091430,0 days 00:00:02.294150,16,0.16703083540038827,2,0.0010749367288726507,80,COMPLETE
28,0.1990240067243576,2025-09-04 18:57:56.091513,2025-09-04 18:57:58.179725,0 days 00:00:02.088212,32,0.09451551517056143,3,6.096603985160667e-05,128,COMPLETE
29,0.5173851072788238,2025-09-04 18:57:58.179816,2025-09-04 18:57:58.968628,0 days 00:00:00.788812,64,0.1249216628292351,1,2.07925570158226e-05,80,COMPLETE
30,0.16895792931318282,2025-09-04 18:57:58.968725,2025-09-04 18:58:01.492165,0 days 00:00:02.523440,16,0.1278019930483436,2,0.00018044459343652177,96,COMPLETE
31,0.1855021059513092,2025-09-04 18:58:01.492257,2025-09-04 18:58:04.067949,0 days 00:00:02.575692,16,0.13499866788430676,2,0.0001647794243539664,96,COMPLETE
32,0.1931328147649765,2025-09-04 18:58:04.068051,2025-09-04 18:58:05.688957,0 days 00:00:01.620906,32,0.10911150702306399,1,0.00035442564320114004,112,COMPLETE
33,0.1992020934820175,2025-09-04 18:58:05.689046,2025-09-04 18:58:07.999545,0 days 00:00:02.310499,16,0.16429431164480762,2,0.000398699579944681,64,COMPLETE
34,0.19278428554534913,2025-09-04 18:58:07.999638,2025-09-04 18:58:10.050156,0 days 00:00:02.050518,32,0.08021118088208637,4,0.0001393986555208549,96,COMPLETE
35,0.2607832759618759,2025-09-04 18:58:10.050247,2025-09-04 18:58:11.495507,0 days 00:00:01.445260,80,0.12018195430597364,6,6.985120819746826e-05,112,COMPLETE
36,0.21462963819503783,2025-09-04 18:58:11.495599,2025-09-04 18:58:12.609443,0 days 00:00:01.113844,48,0.05754862399767525,3,0.0007953049737152139,128,COMPLETE
37,0.2083037257194519,2025-09-04 18:58:12.609532,2025-09-04 18:58:15.024408,0 days 00:00:02.414876,16,0.19175109078731045,2,0.0022021283117286757,96,COMPLETE
38,0.2010665386915207,2025-09-04 18:58:15.024489,2025-09-04 18:58:16.604568,0 days 00:00:01.580079,32,0.027945712030416986,1,0.0004578548578372541,112,COMPLETE
39,0.23066003024578094,2025-09-04 18:58:16.604647,2025-09-04 18:58:17.506637,0 days 00:00:00.901990,48,0.11291181571540092,3,0.0002078730307768181,64,COMPLETE
40,0.3019098103046417,2025-09-04 18:58:17.506729,2025-09-04 18:58:18.877830,0 days 00:00:01.371101,96,0.15596920695846045,8,0.0001014751159213152,80,COMPLETE
41,0.20411936938762665,2025-09-04 18:58:18.877917,2025-09-04 18:58:21.299300,0 days 00:00:02.421383,16,0.14553122026750187,2,0.00015886659992060564,96,COMPLETE
42,0.17684934437274932,2025-09-04 18:58:21.299385,2025-09-04 18:58:23.738932,0 days 00:00:02.439547,16,0.13172741044996436,2,0.00017197832478645276,96,COMPLETE
43,0.20492168366909028,2025-09-04 18:58:23.739018,2025-09-04 18:58:24.585828,0 days 00:00:00.846810,128,0.08330852411191701,1,0.0005759016579573028,128,COMPLETE
44,0.23227072656154632,2025-09-04 18:58:24.585924,2025-09-04 18:58:26.499529,0 days 00:00:01.913605,16,0.1380436678920498,2,0.0002797233436389694,32,COMPLETE
45,0.5833456754684448,2025-09-04 18:58:26.499619,2025-09-04 18:58:27.968339,0 days 00:00:01.468720,32,0.17658473740905603,1,1.0036198439175704e-05,112,COMPLETE
46,0.23481388986110688,2025-09-04 18:58:27.968428,2025-09-04 18:58:30.174862,0 days 00:00:02.206434,16,0.20914862506736653,2,0.00010983303137041129,48,COMPLETE
47,0.2056768238544464,2025-09-04 18:58:30.174960,2025-09-04 18:58:33.552844,0 days 00:00:03.377884,16,0.10525888461393523,5,0.00017044323417212122,128,COMPLETE
48,0.19872234165668487,2025-09-04 18:58:33.552928,2025-09-04 18:58:35.247383,0 days 00:00:01.694455,32,0.11928090023092579,3,0.0004941659852890242,80,COMPLETE
49,0.21305972039699556,2025-09-04 18:58:35.247497,2025-09-04 18:58:37.443940,0 days 00:00:02.196443,32,0.08247126040428043,4,0.0009167447540837164,96,COMPLETE
50,0.24033779203891753,2025-09-04 18:58:37.444153,2025-09-04 18:58:39.757661,0 days 00:00:02.313508,64,0.15864824646209447,6,8.962738009378888e-05,112,COMPLETE
51,0.196624955534935,2025-09-04 18:58:39.758082,2025-09-04 18:58:42.202376,0 days 00:00:02.444294,16,0.1390748200513704,2,0.00015520198383999682,96,COMPLETE
52,0.2131142109632492,2025-09-04 18:58:42.202468,2025-09-04 18:58:44.879377,0 days 00:00:02.676909,16,0.13447138266980582,3,0.00020668765553127607,96,COMPLETE
