number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.7635117888450622,2025-09-04 21:27:59.488188,2025-09-04 21:28:00.697721,0 days 00:00:01.209533,96,0.06630126978748319,2,3.5976777755695705e-05,16,COMPLETE
1,0.18556977510452272,2025-09-04 21:28:00.697861,2025-09-04 21:28:01.567435,0 days 00:00:00.869574,48,0.17729853939213205,1,9.831619695711194e-05,96,COMPLETE
2,0.23227636218070985,2025-09-04 21:28:01.567523,2025-09-04 21:28:02.648274,0 days 00:00:01.080751,64,0.009166607434348018,4,0.008420305519098571,96,COMPLETE
3,0.7997841715812684,2025-09-04 21:28:02.648351,2025-09-04 21:28:03.727941,0 days 00:00:01.079590,64,0.11819483651830535,8,2.212601997558553e-05,16,COMPLETE
4,0.2683419734239578,2025-09-04 21:28:03.728026,2025-09-04 21:28:04.652988,0 days 00:00:00.924962,112,0.2981066462199423,3,0.009270320842981043,80,COMPLETE
5,0.18998165130615235,2025-09-04 21:28:04.653064,2025-09-04 21:28:06.036915,0 days 00:00:01.383851,32,0.02764015846166887,1,0.00013852833354281027,96,COMPLETE
6,0.21813679337501526,2025-09-04 21:28:06.036989,2025-09-04 21:28:07.202621,0 days 00:00:01.165632,80,0.05028754579857284,5,0.001958098007844297,96,COMPLETE
7,0.206415992975235,2025-09-04 21:28:07.202703,2025-09-04 21:28:07.909910,0 days 00:00:00.707207,96,0.2041248659149615,1,0.0030923536452928863,48,COMPLETE
8,0.24184112548828124,2025-09-04 21:28:07.909984,2025-09-04 21:28:10.861128,0 days 00:00:02.951144,16,0.24686691506808606,5,6.995396507364644e-05,96,COMPLETE
9,0.27109768986701965,2025-09-04 21:28:10.861209,2025-09-04 21:28:13.362708,0 days 00:00:02.501499,32,0.26624603934304214,8,0.00220941383763186,80,COMPLETE
10,0.21952829658985137,2025-09-04 21:28:13.362794,2025-09-04 21:28:14.721686,0 days 00:00:01.358892,48,0.16341655626542995,6,0.00035690700266685074,128,COMPLETE
11,0.18320599496364592,2025-09-04 21:28:14.721774,2025-09-04 21:28:16.783447,0 days 00:00:02.061673,16,0.13584731062040672,1,0.00020845246411402307,128,COMPLETE
12,0.2000189393758774,2025-09-04 21:28:16.783520,2025-09-04 21:28:19.079908,0 days 00:00:02.296388,16,0.12676688633994473,2,0.0003625925689210432,128,COMPLETE
13,0.190496763586998,2025-09-04 21:28:19.079989,2025-09-04 21:28:20.088645,0 days 00:00:01.008656,48,0.17528194028010094,3,0.00015914541168032736,128,COMPLETE
14,0.1962980553507805,2025-09-04 21:28:20.088725,2025-09-04 21:28:21.486634,0 days 00:00:01.397909,32,0.09175413214383449,1,0.0007391538843418944,112,COMPLETE
15,0.30217126607894895,2025-09-04 21:28:21.486711,2025-09-04 21:28:22.274180,0 days 00:00:00.787469,128,0.19623645738015044,2,6.545766674314169e-05,48,COMPLETE
16,0.7340048670768737,2025-09-04 21:28:22.274263,2025-09-04 21:28:23.260673,0 days 00:00:00.986410,48,0.22272191179494483,3,1.2318798928238573e-05,112,COMPLETE
17,0.22721691727638244,2025-09-04 21:28:23.260746,2025-09-04 21:28:26.298904,0 days 00:00:03.038158,16,0.13836834510143997,6,0.0007018368127397905,64,COMPLETE
18,0.17706893980503083,2025-09-04 21:28:26.298992,2025-09-04 21:28:27.700920,0 days 00:00:01.401928,32,0.09346123600441002,1,0.000132352838802566,112,COMPLETE
19,0.19096395522356033,2025-09-04 21:28:27.701003,2025-09-04 21:28:30.537887,0 days 00:00:02.836884,16,0.08895761558994614,4,0.00021764483010780294,112,COMPLETE
20,0.21206063032150269,2025-09-04 21:28:30.537977,2025-09-04 21:28:32.166659,0 days 00:00:01.628682,32,0.10282131421478616,2,3.971848851742088e-05,128,COMPLETE
21,0.1761346787214279,2025-09-04 21:28:32.166745,2025-09-04 21:28:32.922603,0 days 00:00:00.755858,48,0.15503247109373197,1,0.0001030237922148451,112,COMPLETE
22,0.1705615296959877,2025-09-04 21:28:32.922684,2025-09-04 21:28:34.315642,0 days 00:00:01.392958,32,0.14342117164632084,1,0.0006425430861072573,112,COMPLETE
23,0.19785117506980895,2025-09-04 21:28:34.315725,2025-09-04 21:28:35.189250,0 days 00:00:00.873525,64,0.1437198768279086,2,0.0012060857865614637,112,COMPLETE
