number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.37067282795906065,2025-09-22 17:43:01.624490,2025-09-22 17:43:04.078406,0 days 00:00:02.453916,96,0.1902810079806919,2,0.002278442088992486,96,COMPLETE
1,0.3729865550994873,2025-09-22 17:43:04.078508,2025-09-22 17:43:06.593019,0 days 00:00:02.514511,128,0.14544100059212095,6,0.001504451761004533,48,COMPLETE
2,0.850383198261261,2025-09-22 17:43:06.593113,2025-09-22 17:43:11.540137,0 days 00:00:04.947024,32,0.015299888914463643,7,1.2403101633097229e-05,16,COMPLETE
3,0.3736922204494476,2025-09-22 17:43:11.540237,2025-09-22 17:43:14.710555,0 days 00:00:03.170318,64,0.21030138397832512,3,0.0009831809640511383,112,COMPLETE
4,0.3712704062461853,2025-09-22 17:43:14.710629,2025-09-22 17:43:22.340326,0 days 00:00:07.629697,16,0.19556159269739162,2,0.001545524944315238,80,COMPLETE
5,0.38628009557723997,2025-09-22 17:43:22.340406,2025-09-22 17:43:25.149092,0 days 00:00:02.808686,112,0.20082742650438232,5,0.0004139686684270384,112,COMPLETE
6,0.45605982542037965,2025-09-22 17:43:25.149187,2025-09-22 17:43:30.302800,0 days 00:00:05.153613,48,0.1929781472391211,8,7.730792621887601e-05,64,COMPLETE
7,0.4035423159599304,2025-09-22 17:43:30.302907,2025-09-22 17:43:34.858919,0 days 00:00:04.556012,32,0.23805465424924793,4,0.0001464825414660653,48,COMPLETE
8,0.37166686058044435,2025-09-22 17:43:34.859013,2025-09-22 17:43:37.149357,0 days 00:00:02.290344,48,0.1075307815077318,1,0.0007183158553212802,16,COMPLETE
9,0.379067587852478,2025-09-22 17:43:37.149442,2025-09-22 17:43:40.239696,0 days 00:00:03.090254,128,0.10188994146785203,6,0.0002044868646371653,112,COMPLETE
