number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.15800281167030333,2025-10-27 16:24:41.080508,2025-10-27 16:25:57.605920,0 days 00:01:16.525412,16,0.05379615986962871,1,0.0022240606577575493,32,COMPLETE
1,0.3991389095783234,2025-10-27 16:25:57.606185,2025-10-27 16:26:33.004039,0 days 00:00:35.397854,96,0.19994994462934693,7,1.883958055471809e-05,80,COMPLETE
2,0.19886161088943483,2025-10-27 16:26:33.004128,2025-10-27 16:27:03.274484,0 days 00:00:30.270356,80,0.2418245049491688,3,0.00021317384560840859,96,COMPLETE
3,0.17446348965168,2025-10-27 16:27:03.274749,2025-10-27 16:28:34.408011,0 days 00:01:31.133262,16,0.11671128714852602,1,0.0038251196195295107,64,COMPLETE
4,0.14036173224449158,2025-10-27 16:28:34.408235,2025-10-27 16:30:07.271125,0 days 00:01:32.862890,32,0.03633000858908564,7,8.756179435679596e-05,128,COMPLETE
5,0.17759272158145906,2025-10-27 16:30:07.271412,2025-10-27 16:30:34.438114,0 days 00:00:27.166702,128,0.2533025445046234,4,0.00018948382032654985,128,COMPLETE
6,0.16201978027820588,2025-10-27 16:30:34.438359,2025-10-27 16:31:13.060570,0 days 00:00:38.622211,48,0.013659590686902512,4,0.0014059169928426895,32,COMPLETE
7,0.13053593039512634,2025-10-27 16:31:13.060904,2025-10-27 16:31:46.265520,0 days 00:00:33.204616,112,0.01230867472231958,5,0.000227508826655514,128,COMPLETE
8,0.40718074440956115,2025-10-27 16:31:46.265753,2025-10-27 16:32:23.589693,0 days 00:00:37.323940,64,0.1242527202203117,7,0.009352861998735217,32,COMPLETE
9,0.23484737277030945,2025-10-27 16:32:23.589918,2025-10-27 16:32:57.035199,0 days 00:00:33.445281,128,0.23688719322012203,6,0.0016724663324665366,128,COMPLETE
