number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.28585562109947205,2025-10-27 19:24:34.303139,2025-10-27 19:25:06.746203,0 days 00:00:32.443064,48,0.01387984551504704,1,2.570818248461584e-05,48,COMPLETE
1,0.21170688271522523,2025-10-27 19:25:06.747927,2025-10-27 19:25:59.415533,0 days 00:00:52.667606,48,0.23812014754395738,5,0.00028518669807179556,96,COMPLETE
2,0.18065221905708312,2025-10-27 19:25:59.415822,2025-10-27 19:27:28.543531,0 days 00:01:29.127709,16,0.18536645585671235,1,0.002775980729393456,64,COMPLETE
3,0.33851715326309206,2025-10-27 19:27:28.543760,2025-10-27 19:28:41.042920,0 days 00:01:12.499160,32,0.19389952981495606,6,0.005986813811190537,64,COMPLETE
4,0.40852283239364623,2025-10-27 19:28:41.043124,2025-10-27 19:29:01.423191,0 days 00:00:20.380067,96,0.06255464369830709,4,2.1786611206357157e-05,32,COMPLETE
5,0.19787391126155854,2025-10-27 19:29:01.423288,2025-10-27 19:31:07.715852,0 days 00:02:06.292564,16,0.04165342027708323,3,0.008753414385840607,112,COMPLETE
6,0.2079652726650238,2025-10-27 19:31:07.716067,2025-10-27 19:31:48.895992,0 days 00:00:41.179925,48,0.17133621408831187,3,6.190462394695294e-05,80,COMPLETE
7,0.29179906845092773,2025-10-27 19:31:48.896769,2025-10-27 19:32:14.717436,0 days 00:00:25.820667,112,0.26253706432658447,6,9.251178869677383e-05,48,COMPLETE
8,0.17314482629299163,2025-10-27 19:32:14.717671,2025-10-27 19:32:56.915158,0 days 00:00:42.197487,64,0.05378343136731046,5,7.378576552030834e-05,96,COMPLETE
9,0.16198904812335968,2025-10-27 19:32:56.915385,2025-10-27 19:33:52.192888,0 days 00:00:55.277503,32,0.11458810717910081,2,0.0011598171027739164,96,COMPLETE
