number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out,params_layber_number,params_lr,params_unit,state
0,0.5278189063072205,2025-09-22 14:09:40.857415,2025-09-22 14:09:44.995610,0 days 00:00:04.138195,80,0.02598067401574632,7,1.5218137789179464e-05,112,COMPLETE
1,0.4016409754753113,2025-09-22 14:09:44.995701,2025-09-22 14:09:46.994174,0 days 00:00:01.998473,80,0.11086187649373784,6,0.0031076915262453846,16,COMPLETE
2,0.41927831768989565,2025-09-22 14:09:46.994260,2025-09-22 14:09:49.895788,0 days 00:00:02.901528,96,0.2723554731989906,5,6.622575482909776e-05,128,COMPLETE
3,0.378015524148941,2025-09-22 14:09:49.895868,2025-09-22 14:09:51.555323,0 days 00:00:01.659455,112,0.24427440854589538,2,0.0007036759029440407,48,COMPLETE
4,0.4390859305858612,2025-09-22 14:09:51.555405,2025-09-22 14:09:53.136657,0 days 00:00:01.581252,96,0.28504983168021913,1,4.540460555536136e-05,96,COMPLETE
5,0.8167855381965637,2025-09-22 14:09:53.136739,2025-09-22 14:09:55.285314,0 days 00:00:02.148575,80,0.11881652841405128,7,6.663919934581291e-05,16,COMPLETE
6,0.4551814258098602,2025-09-22 14:09:55.285395,2025-09-22 14:09:57.342132,0 days 00:00:02.056737,112,0.0950376064701864,4,6.392136554465185e-05,48,COMPLETE
7,0.4582332491874695,2025-09-22 14:09:57.342221,2025-09-22 14:10:00.893647,0 days 00:00:03.551426,128,0.2762830541309985,7,0.007741485444047229,128,COMPLETE
8,0.3990015208721161,2025-09-22 14:10:00.893724,2025-09-22 14:10:03.624928,0 days 00:00:02.731204,80,0.000421346141181711,6,8.486056195025141e-05,80,COMPLETE
9,0.518092805147171,2025-09-22 14:10:03.625016,2025-09-22 14:10:11.136340,0 days 00:00:07.511324,16,0.24079300246577742,4,0.0001166386491553162,16,COMPLETE
